,Unnamed: 0,keyword,location,polarity,date,quater
1755212,1755212,ГАЗ,Belarus,0.0,2018-12-11,4
1755213,1755213,ГАЗ,Belarus,1.0,2018-12-11,4
1755215,1755215,ГАЗ,Belarus,0.4117647059,2018-12-11,4
1755217,1755217,ГАЗ,Belarus,-0.33333333330000003,2018-12-11,4
1755218,1755218,ГАЗ,Belarus,-0.19148936170000005,2018-12-11,4
1755219,1755219,ГАЗ,Belarus,0.4623655914,2018-12-11,4
1755220,1755220,ГАЗ,Belarus,-0.0714285714,2018-12-11,4
1755221,1755221,ГАЗ,Belarus,0.1162790698,2018-12-11,4
1755222,1755222,ГАЗ,Belarus,-0.25,2018-12-11,4
1755223,1755223,ГАЗ,Belarus,0.0909090909,2018-12-10,4
1755224,1755224,ГАЗ,Belarus,-0.0740740741,2018-12-10,4
1755225,1755225,ГАЗ,Belarus,0.22222222219999999,2018-12-10,4
1755227,1755227,ГАЗ,Belarus,0.33333333330000003,2018-12-10,4
1755228,1755228,ГАЗ,Belarus,0.6000000000000001,2018-12-10,4
1755229,1755229,ГАЗ,Belarus,0.2033898305,2018-12-10,4
1755230,1755230,КАМАЗ,Belarus,0.2033898305,2018-12-10,4
1755232,1755232,ГАЗ,Belarus,0.04,2018-12-10,4
1755233,1755233,ГАЗ,Belarus,-1.0,2018-12-10,4
1755235,1755235,ГАЗ,Belarus,0.0,2018-12-10,4
1755236,1755236,ГАЗ,Belarus,0.0,2018-12-10,4
1755237,1755237,ГАЗ,Belarus,-0.1,2018-12-10,4
1755239,1755239,ГАЗ,Belarus,0.6666666667000001,2018-12-10,4
1757701,1757701,Газпром,Belarus,0.0,2018-12-01,4
1758751,1758751,ГАЗ,Belarus,1.0,2018-12-06,4
1758820,1758820,ГАЗ,Belarus,0.11111111109999999,2018-12-06,4
1759388,1759388,ГАЗ,Belarus,-0.23076923079999997,2018-12-07,4
